"Lifeexpectancyatbirth","Meanyearsofschooling","Country","GNIpercapitarankminusHDIrank","Grossnationalincome(GNI)percapita","Expectedyearsofschooling","HDIrank","HumanDevelopmentIndex(HDI)"
"83.9872","13.85966015","SWITZERLAND","5","66933.00454","16.50029945","1","0.962"
"83.2339","13.00362968","NORWAY","6","64660.10622","18.18519974","2","0.961"
"82.6782","13.76716995","ICELAND","11","55782.04981","19.16305923","3","0.959"
"85.4734","12.22620964","HONG KONG, CHINA (SAR)","6","62606.8454","17.27816963","4","0.952"
"84.5265","12.72681999","AUSTRALIA","18","49238.43335","21.05459023","5","0.951"
"81.3753","12.96049023","DENMARK","6","60364.78595","18.71479988","6","0.948"
"82.9833","12.60972023","SWEDEN","9","54489.37401","19.41852951","7","0.947"
"81.9976","11.58222303","IRELAND","-3","76168.98443","18.94522095","8","0.945"
"80.6301","14.09096691","GERMANY","6","54534.21682","17.01013947","9","0.942"
"81.6873","12.58162975","NETHERLANDS","3","55979.411","18.69316522","10","0.941"
"82.0381","12.87362003","FINLAND","11","49452.16672","19.05192947","11","0.94"
"82.7545","11.92488003","SINGAPORE","-10","90918.64471","16.5243206","12","0.939"
"81.8787","12.37567997","BELGIUM","7","52293.39977","19.60421944","13","0.937"
"82.4513","12.94468975","NEW ZEALAND","16","44057.31394","20.28388977","13","0.937"
"82.6565","13.83442722","CANADA","9","46807.98619","16.39625931","15","0.936"
"83.2575","12.53854","LIECHTENSTEIN","-15","146829.7006","15.18157005","16","0.935"
"82.6287","13.01519217","LUXEMBOURG","-13","84649.47467","14.39813995","17","0.93"
"80.7422","13.4061203","UNITED KINGDOM","9","45224.76564","17.30971909","18","0.929"
"84.7839","13.36610034","JAPAN","12","42274.29134","15.22162588","19","0.925"
"83.6978","12.51293027","KOREA (REPUBLIC OF)","9","44500.93187","16.52173996","19","0.925"
"77.1982","13.68342972","UNITED STATES","-14","64765.21509","16.28097916","21","0.921"
"82.255","13.3448664","ISRAEL","10","41523.74319","16.05088997","22","0.919"
"83.7769","12.21026039","MALTA","12","38884.45623","16.83856964","23","0.918"
"80.6904","12.80368042","SLOVENIA","10","39746.01987","17.65492058","23","0.918"
"81.5797","12.25669003","AUSTRIA","-8","53618.67138","16.00795937","25","0.916"
"78.7104","12.69402981","UNITED ARAB EMIRATES","-15","62573.59181","15.71769047","26","0.911"
"83.01","10.60540009","SPAIN","10","38353.60164","17.91690063","27","0.905"
"82.4988","11.61005974","FRANCE","-2","45937.05273","15.81206989","28","0.903"
"81.2033","12.44017029","CYPRUS","9","38188.42152","15.64826965","29","0.896"
"82.8502","10.7401104","ITALY","0","42839.51441","16.22678947","30","0.895"
"77.1436","13.54843044","ESTONIA","8","38048.26372","15.92895985","31","0.89"
"77.7283","12.86931038","CZECHIA","4","38745.21386","16.21968079","32","0.889"
"80.1106","11.40853024","GREECE","17","29002.48545","20.02878952","33","0.887"
"76.4572","13.1647501","POLAND","8","33033.96081","16.0271492","34","0.876"
"78.7605","11.04658985","BAHRAIN","-1","39497.24788","16.29755974","35","0.875"
